Unnamed: 0,headline,content,timestamp,url,author,publication_date,section,relevant
9,Biden says he 'screwed up' debate but vows to stay in election,"US President Joe Biden has admitted he ""screwed up"" in last week's debate against Donald Trump, but has vowed to fight on in the election race and moved to reassure key allies. He told a Wisconsin radio station he made a ""mistake"" with his stumbling performance, but urged voters to instead judge him on his time in the White House. On Wednesday, as reports suggested he was weighing his future, he worked to calm senior Democrats including state governors and campaign staff. “I'm the nominee of the Democratic Party. No one's pushing me out. I'm not leaving,"" he said in a call to the broader campaign, a source told BBC News. Mr Biden was joined on the call by Vice-President Kamala Harris, who reiterated her support.  Speculation has mounted over whether she could replace the president as the party’s candidate ahead of the November election. A fundraising email sent after the call by the Biden-Harris campaign was also bullish. “Let me say this as clearly and simply as I can: I'm running,” Mr Biden said. Questions have been swirling around whether the 81-year-old will continue with his campaign following a debate marked by verbal blanks and a weak voice.  It sparked concern in Democratic circles around his fitness for office and his ability to win the election. Pressure on Mr Biden to drop out has only grown as more polls suggest his Republican rival’s lead has widened.  A New York Times poll conducted after the debate, which was published on Wednesday, suggested Trump was now holding his biggest lead yet at six points. And a separate poll published by the BBC’s US partner CBS News suggested Trump has a three-point lead over Mr Biden in the crucial battleground states.  The damaging polling for Mr Biden has been compounded by some Democratic donors and lawmakers publicly calling on the president to stand aside.  Among them are Ramesh Kapur, an Indian-American industrialist based in Massachusetts, who has organised fundraisers for Democrats since 1988.  “I think it’s time for him to pass the torch,” Mr Kapur told the BBC. “I know he has the drive, but you can’t fight Mother Nature.” And two Democrats in Congress also called for a change at the top of the party’s ticket. The second, Representative Raul Grijalva of Arizona, told the New York Times it was time for Democrats to “look elsewhere”. Despite this, the White House and the Biden campaign have vehemently denied reports he is actively weighing his future and say he is committed to defeating Trump for a second time on 5 November. The New York Times and CNN reported on Wednesday that Mr Biden had told an unnamed ally he was aware his re-election bid was in danger. His forthcoming appearances - including an ABC News interview and a Friday rally in Wisconsin - were hugely important to his campaign, he reportedly said.  A spokesperson rejected the reports as “absolutely false”, shortly before White House Press Secretary Karine Jean-Pierre said reports that he may drop out were untrue. Among the senior Democrats Mr Biden met on Wednesday was a group of 20 state governors from around the country, including California’s Gavin Newsom and Michigan’s Gretchen Whitmer. Both have been tipped as potential replacements if Mr Biden were to stand aside. ""The president has always had our backs, we’re going to have his back as well,"" Maryland Governor Wes Moore told reporters after the meeting.  But Ms Harris is still considered the most likely replacement. The 59-year-old has been hampered by poor approval ratings, but her support has increased among Democrats since the Biden-Trump debate. Amid the speculation, comments made by Trump indicated he could be switching his attention to attacking Ms Harris.  In footage obtained by the Daily Beast - and shared online by Trump himself - he can be seen in a golf cart pouring scorn on Mr Biden, whom he describes as ""broken down"". He suggests that Ms Harris would be ""better"", though still ""pathetic"". The vice-president gave an immediate interview on CNN after the debate, projecting calm as she expressed full support for the president.  ""She has always been mindful to be a good partner to the president,"" her former communications director Jamal Simmons told BBC News.  ""The people who ultimately will make the decision about who the nominee should be mostly are people who are pledged to him. Her best role is to be a partner to him."" A source close to Ms Harris said nothing had changed and she would continue to campaign for the president. Members of the Democratic National Committee are charged with voting to officially make President Biden the party’s nominee at the August convention, putting him on the ballot nationwide.  One member, who has spoken to other delegates and requested anonymity to speak frankly about sensitive discussions, told the BBC that the nomination should go to Vice-President Harris if Mr Biden opted not to run.  “If we open up the convention, it will cause pure chaos that will hurt us in November,"" they said. A report by the Washington Post, meanwhile, said Mr Biden and his team recognised that he must demonstrate his fitness for office in the coming days.  He has planned trips to Wisconsin and Philadelphia later in the week, and is due to appear on ABC News on Friday for his first televised interview since the debate.  His full interview with Wisconsin's Civic Media is also due to be published on Thursday.  While acknowledging that he had ""screwed up"" with his performance, he told the station: ""That's 90 minutes on stage. Look at what I've done in 3.5 years."" Adam Levy and Brajesh Upadhyay contributed to this report",2024-07-04 11:39:19,https://www.bbc.com/news/articles/crgrwgnvqgvo,"Gareth Evans, Courtney Subramanian and Kayla Epstein,",2024-07-04 09:39:19,Unknown,True
20,'Something needs to happen' - Democratic voters on replacing Biden,"In the days since President Joe Biden's widely-criticised debate performance against former president Donald Trump, Democrats across the country have begun questioning whether Mr Biden is the best candidate for the party.  Most voters think Democrats have a better chance of keeping the White House if Biden isn’t the nominee, a CNN poll found this week.  The BBC spoke to Democratic voters who reflected that concern but who also worried about the logistics of switching candidates this far into the campaign. As the party confronts this thorny question, we asked voters what they want to see Democrats do next and who they think could replace Mr Biden. Familiar names include Vice-President Kamala Harris, Illinois Governor JB Pritzker, Michigan Governor Gretchen Whitmer, Transportation Secretary Pete Buttigieg, California Governor Gavin Newsom and Pennsylvania Governor Josh Shapiro.  We start with a voter who feels the Democratic party is not listening to its constituents and wants a fresh face atop the ticket in place of Mr Biden.  Silvia feels like the Democratic party isn't listening to her; she wants Biden to step aside and a new candidate to take centre stage.  They give us these text messages ""Are you going to support President Biden for re-election?"" and I said ""no"". I don't want someone who doesn't have the ability to continue in office for a very long time.   I'm just tired.  They push who they think is going to get elected without listening to our voices.  We want someone younger, we want someone who has new ideas, has new ways to engage the whole country. But at the same time, what do I do now?  He should step aside.  I'm hoping we get someone fresh, but I don't know who.  Other candidates don't get the air time, so I have to do my own research.  I want someone new. I wish he would step down. I wish he would recognize as president, you're the president of the people. Listen to the people, listen to us.  I definitely have been watching the governor of Michigan [Whitmer]. I think we need a woman as president and that's who I would like on a ticket.  Kyle worries the Democratic party has no game plan and is dismissing voters' concerns about Biden's abilities.  I think there has to be a serious discussion about Biden stepping down...  In the end, it's up to Joe Biden, but I think at very least, there should be some other candidates floated to be able to to articulate what our our game plan is going forward... I think the more the party tries to tell the public to not believe what we saw during that debate, it's going to take me from believing we should maybe just deal with Biden to we need a change.  A lot of Democratic voters feel gas lit.  We're being asked to not believe what we saw, and being told that this is a one off, and we know that this is not a one-off.  There's been a lot that's been accomplished, but if we can't articulate those messages, we can't win, which means that vision ceases to continue. The president - they affect down ballot races, and those down ballot races could mean catastrophe with what's at stake in this election. Gretchen Whitmer would be an excellent example of someone who could replace Biden, or Pete Buttigieg, but I think at this stage, it's difficult to say.  But I think a Whitmer-Buttigieg ticket could win.  We need people and Democratic candidates who are from Midwestern states or other states who know how to communicate a little bit better with people in their constituencies.  This voter thinks Biden never should have run for this second term, but he is concerned that it is too late in the process to replace Biden.  On the one hand, I personally wouldn't mind him stepping down, but that does lead me to a lot of scepticism that whoever replaces him as the nominee would have the capabilities and momentum to beat Trump.  It is a tough question of who could replace Biden.  Realistically, I don't think my policy positions totally align with VP [Kamala] Harris, but I do think that, honestly, she'd probably be the best choice for president in terms of logistics, in terms of name recognition.  If he were to step down, she's the clear successor. She's already part of the ticket.  That said, I think if we could go back in time and rerun the primary system and actually have a proper voting primary with a field of candidates, I'd probably be more likely to lean towards someone who has a bit more support in the midwest and rust belt states. Someone like Michigan Governor Gretchen Whitmer or Illinois Governor JB Pritzker.  Joshua thinks the Democrats have to make a change because he says Biden is not the best candidate to beat Trump come November.  Something needs to happen.  The Democrats need to have a moment of, ""hey, this is what we did wrong"". Let's have a conversation about if Biden is truly viable or not.  Is he the best to beat Trump now?  I don't think anyone can confidently say he is.  Possibly Gavin Newsom is. He's primed himself as the best alternative, knowing that this opportunity would come up.  If he runs, he's just a name that people can get behind. He has a face that people like. He has a great family. I just don't know another name in the Democratic Party who, at this stage of the race, could catch up.  Gavin Newsom, who has primed himself to be in that position, or [Pennsylvania Governor] Josh Shapiro, who is an underdog that can really get there. This voter, who is a progressive Democrat, would love to see Biden replaced on the Democratic ticket but worries that it's too late.  I'm conflicted.  Personally, yes, I think Biden should step down, but realistically and logistically, no - the primary is done.  He has won the Democratic nomination, even though participation in the primaries for an incumbent president is more of a formality. You have other candidates, like Newsom, Whitmer, Pritzker, Harris, who could technically be good candidates to replace him, but the plan should have been put in place years ago, if not a year ago, in my opinion.  Yeah, I would personally like to see Biden replaced, but I don't see how that would logistically happen. I would like to see Pritzker on the ticket.  It seems to me that Newsom is the heir apparent, but I would say Pritzker and maybe Harris, or Harris-Pritzker. Pritzker has a more progressive policy that he's enacted in Illinois that could expand as a vision for the rest of the country. Biden's done a good job as president, and I think his legacy as a decent one-term caretaker president is at risk by trying to hold on to power. His legacy is absolutely in the gutter if he loses to Trump, in a landslide, which seems to be a possibility. If there were a singular candidate Democrats could coalesce around, Leslie would get behind them. Without one, she thinks replacing Biden is off the table.  It's too late. We're too close to the election to have a switch. If there was a single person that everyone could immediately get behind, maybe. But I don't think that person exists right now.  I think if Kamala Harris came in, there'd be all these people complaining about her. Or if Pete Buttigieg came in, people complaining about him. So I think right now, where we are right now, I think it's too late to switch. If Biden were to drop out, I like Kamala Harris and Pete Buttigieg. Kamala Harris has the most name recognition, so I like her quite a lot, but I know that she also turns a lot of people off. I would worry that she would cause people not to show up to vote, but I guess I would support her. Jessica doesn't know how the Democrats can come back from Joe Biden's debate performance without replacing him.  I want to see him replaced. I feel guilty or bad saying that or thinking that. If Joe Biden stays in the race, I'll be voting for Joe Biden.  But I don't see how he can come back from that debate performance.  There are a lot of people who folks would be genuinely excited to vote for and I think now it's really a feeling of dread.  Gretchen Whitmer is a name that has been thrown around who I think would be great. Josh Shapiro is wonderful.  Those are two that come to mind who I think people would be excited about.  I'd be excited to vote for Josh Shapiro, I'd be excited to vote for Gretchen Whitmer, I'd be excited to vote for Gavin Newsom.  I don't even know a ton about Gavin Newsom, but from what I do know, I think there would be a level of excitement just knowing we have somebody other than Joe Biden who is qualified and capable and dynamic and decades younger. ",2024-07-04 11:39:20,https://www.bbc.com/news/articles/c6p2w01lg77o,"Ana Faguy,",2024-07-03 15:39:20,Unknown,True
13,"Chess star, 9, to become youngest England player","A nine-year-old chess prodigy is set to make history as the youngest person ever to represent England internationally in any sport. Bodhana Sivanandan, from Harrow, north-west London, will join the England Women’s Team at the Chess Olympiad in Hungary later this year. She is almost 15 years younger than the next-youngest teammate, 23-year-old Lan Yao.  ""I found out yesterday after I came back from school, when my dad told me,""  Bodhana told the BBC. ""I was happy. I hope I’ll do well, and I’ll get another title.""  Malcolm Pein, manager of the England chess team, says the schoolgirl is the most remarkable prodigy British Chess has ever seen. ""It’s exciting - she’s on course to be one of the best British players ever,"" he said.  However the nine-year-old's father, Siva, says he is mystified as to where his daughter got her talent from.  ""I’m an engineering graduate, as is my wife, but I’m not good at chess,” he told the BBC. ""I tried a couple of league games, but I was very poor.""  Bodhana first picked up a pawn during the pandemic. ""When one of my dad’s friends was going back to India, he gave us a few bags [of possessions],” Bodhana said. ""There was a chess board, and I was interested in the pieces so I started playing."" She says chess makes her feel ""good"" and helps her with ""lots of other things like maths, how to calculate"".  Two years ago, Bodhana won all three chess world championships for the under eight age group - in the classical game, where a match lasts several hours, the rapid game, which lasts up to an hour, and the blitz game, which can be as short as three minutes. As for preparation for Hungary, Bodhana is taking it very seriously.  ""On school days I practice for around one hour every day,” she said. ""On the weekends, I usually play tournaments, but when I don’t I practice for more than an hour."" While some of her teammates are old enough to be her grandparents, Bodhana is not the only upcoming young talent.  The game is seeing a surge of interest among young people, according to Mr Pein, which he attributes to two factors - the legacy of the lockdowns and the impact of smash-hit Netflix drama The Queen’s Gambit, which is about a gifted female chess player. Mr Pein says he feels ""very confident"" that his prodigy will achieve her ultimate goal and become a grandmaster, the highest title in international chess.  Abhimanyu Mishra, from the US, holds the record for the youngest person to reach grandmaster in 2021, when he was just 12. But Bodhana says she intends to clinch the title at the tender age of 10. One year, she is keen to point out, before she finishes primary school. ",2024-07-04 11:39:20,https://www.bbc.com/news/articles/c3g6e653wrlo,"Will Vernon,",2024-07-03 17:39:20,Unknown,True
38,Who could replace Biden as Democratic nominee?,"US President Joe Biden's feeble debate performance last week sent shockwaves across the Democratic party, raising questions about who could replace him on the presidential ticket should he decide to step down.  The move - though unlikely - would create a logistical nightmare, and could set up an ugly inter-party fight among Democrats just months before voters cast their ballots.  But with Democrats expressing panic and confusion over the future of Mr Biden's candidacy, it has led to discussions about whether the president, 81, is the right candidate to face former President Donald Trump in November. Many Democrats noted the importance of defeating Trump when arguing for or against Mr Biden's claim to the party's nomination.  There are a handful of ways the president could be replaced on the ticket, but chances are slim that Mr Biden would vacate his candidacy with just over four months until the election.  But, if he does, here are some the people who might replace him. Vice President Kamala Harris, who is already on the ticket, is an obvious choice to replace Mr Biden.  As vice president, she has become the face of the administration's campaign to protect reproductive rights after the Supreme Court's overturned Roe v Wade.  Ms Harris has proved to be a loyal ally to the president and fiercely defended his debate performance. After the event, she admitted the president had a ""slow start"" but argued he went on to provide more substantive answers than Trump.  “People can debate on style points, but ultimately this election and who is the president of the United States has to be about substance,” Harris told CNN Thursday night.  Ms Harris has the strong name recognition that comes from the job of vice  president, but she has struggled with low approval ratings throughout her tenure.  Forty-nine percent of Americans disapprove of Ms Harris, while 39% approve, according to polling averages tracked by FiveThirtyEight.  Ms Harris will also have a prime-time moment that could vault her ahead of the pack of potential presidential contenders when she faces off against Trump's pick for vice president. The BBC's US media partner CBS is scheduled to host a vice presidential debate before the Democratic National Convention in August.   Gretchen Whitmer, the two term governor of Michigan, is an increasingly popular mid-west Democrat who many pundits speculate will run for president in 2028.  She has campaigned for Mr Biden in the past and has not been shy about her political aspirations.  She told the New York Times she wants to see a Generation X president in 2028, but stopped short of suggesting that she might fill that role.  In 2022, she led a campaign that left Michigan Democrats in control of the state's legislature and the governor's mansion.  That political control allowed her to enact a number of progressive policies including protecting Michigan abortion access and the passage of gun safety measures.  California Governor Gavin Newsom is one of the Biden Administration's fiercest surrogates. He frequently appears on cable news networks praising Mr Biden.  But Mr Newsom has political ambitions of his own.  He is often listed as a possible 2028 candidate, but many Democratic pundits have said he would be an appealing stand-in for Mr Biden.  Mr Newsom raised his national profile in recent years by being a key party messenger on conservative media, and via a debate against Florida Governor Ron DeSantis last year.  It is no secret that Transportation Secretary Pete Buttigieg has presidential aspirations.  He ran for president in 2020 and is often touted as one of the Biden Administration's best communicators.  Mr Buttigieg has managed a number of public crises during his time as Transportation Secretary.  He helped to oversee the government response to the East Palestine train derailment, the Baltimore Bridge collapse and Southwest Airlines' scheduling crisis in 2022.  Pennsylvania Governor Josh Shapiro has seen high approval ratings since he was elected in 2022 in a swing state Mr Trump narrowly carried in 2016.  The governor, who previously served as the state's attorney general, has worked across party lines during his tenure.  He made national headlines last year after quickly rebuilding a collapsed bridge on a crucial Philadelphia highway - a major political victory for a first-term governor.  The quick repair was hailed by many as the perfect infrastructure talking point for a potential 2028 presidential candidate.  JB Pritzker, the governor of Illinois, has raised his profile in recent years by going after Trump and defending Mr Biden.  The billionaire businessman - heir to the Hyatt hotel chain - is quick to post criticism of Trump on social media.  After the debate he called Trump a ""liar"" and said he is a ""34-count convicted felon who cares only about himself"".  Like Ms Whitmer, Mr Pritzker has a track record of completing agenda items on progressive Democrats to-do lists on issues like abortion rights and gun control.  The list of potential nominees stretches beyond these Democrats, as the party has developed a deep bench of possible future presidential candidates.   Kentucky Governor Andy Beshear, a two-term Democratic governor in a very conservative state, has earned growing national attention since his re-election last year.  Maryland Governor Wes Moore has found himself in the spotlight in recent months following the collapse of the Francis Scott Key Bridge in Baltimore.  Senators Amy Klobuchar and Cory Booker are often mentioned, as they have run for president in the past and have some name recognition among Democrats.  Georgia Senator Raphael Warnock, who won a closely contested senate race in a swing-state, has also been mentioned as a potential replacement for Mr Biden.  A Reuters IPSOS poll released Tuesday found the only person who could beat Trump in November was Michelle Obama. Though the former first lady has repeatedly said she does not have presidential aspirations. ",2024-07-04 12:11:25,https://www.bbc.com/news/articles/c80ekdwk9zro,"Ana Faguy,",2024-07-01 12:11:25,Unknown,True
47,How the BBC reports polling day,"The BBC, like other broadcasters, is not allowed to report details of campaigning or election issues while polls are open on the day of the general election, 4 July. The BBC prepares detailed election guidelines which are written and published for each election, and they include guidance about polling day.  On polling day, the BBC does not report on any of the election campaigns from 06:00 BST until polls close at 22:00 BST on TV, radio or bbc.co.uk, or on social media and other channels. However, online sites do not have to remove archived reports, including, for instance, programmes on iPlayer. The lists of candidates, as well as the manifesto guides, remain available online during polling day. Coverage of what is happening on the day is usually restricted to uncontroversial factual accounts, such as the appearance of politicians at polling stations, or the weather.  It tends to focus on giving information that will help voters with the process of going to polling stations. Subjects which have been at issue or part of the campaign - or other controversial matters relating to the election - must not be covered on polling day itself until the polls have closed. That means no opinion poll on any issue relating to politics or the election can be published until the polls have closed. While the polls are open, it is a criminal offence to publish ""exit polls"" which includes surveys on how people have said they have voted in the election and may also offer a prediction on the election result based on what voters have said.   The BBC, however, is still able to report on events which are not directly related to the elections; and if there are stories about the mechanics of polling day, especially if they might contain important information to help voters, such as an incident at their local polling station, then that too can be reported, but, of course, with impartiality and editorial justification.  From 22:00 BST, after the close of the polls, the election guidelines no longer apply - but the BBC must still report on the election, of course, with the impartiality requirements set out by both Ofcom and the BBC's own Editorial Guidelines. ",2024-07-04 14:54:50,https://www.bbc.com/news/uk-politics-48124106,"Ric Bailey,",2024-07-01 14:54:50,,True
58,Labour set for general election landslide - exit poll,"Henry ZeffmanChief political correspondent As they wait for more results, some Conservatives are turning their fury on Rishi Sunak’s inner circle. Shortly before polls closed, Sunak announced a string of honours for former cabinet ministers such as Theresa May and Chris Grayling. He also gave a peerage to Liam Booth-Smith, his chief of staff, and a knighthood to Oliver Dowden, his deputy prime minister. I’ve just had this through from a senior Conservative source: ""There is widespread disgust at the reward for abject failure in Rishi’s dissolution list. Sir Oliver Dowden pushed for an early election and has been the worst DPM in living memory, demonstrating terrible political judgment.  ""Lord Booth Smith is the architect of the Sunak project and connived to bring down the biggest election winning Tory PM in a generation. Sunak’s pledge to bring integrity back to politics when he entered Downing Street has proven to be a total lie. This an utter disgrace."" That gives you a flavour of the recriminations which are beginning right now. Sir Charles Walker, who stood down as a Conservative MP at the election, responded to that quote in our radio studio just now, saying: ""The idea that people in the Conservative Party are going to be as sanguine and magnanimous as I am, is for the birds.""",2024-07-04 23:10:05,https://www.bbc.com/news/live/cn09xn9je7lt,Unknown,Unknown,,True
91,Euro 2024: France beat Portugal on penalties,"That's all from us. Tuesday, 10 July  Spain v France Wednesday, 11 July ??? v ??? We'll find out tomorrow. Can't wait. See you then. This video can not be played Hernandez's penalty sends France into semi-finals",2024-07-05 23:10:28,https://www.bbc.com/sport/football/live/cy79llev4znt,Emma Sanders,Unknown,,True
96,Victoria Starmer: Who is the new UK PM's wife?,"Throughout the general election campaign and much of her husband's tenure as Labour leader, Victoria Starmer has kept a low profile. Apart from appearances at Labour conferences, the odd state banquet and a Taylor Swift concert, Lady Starmer, nee Victoria Alexander, has sought to avoid public appearances  Asked on LBC about his wife's low profile, Sir Keir pointed out that she had a full-time job at an NHS hospital and that their eldest child was doing his GCSEs. “We took the decision that whilst I was out and about on the road, we wanted to create the environment where he could study calmly in ordinary circumstances.” However, now that Sir Keir has won the election and become prime minister, Lady Starmer may find it trickier to shun the spotlight.  When she first met Sir Keir in the early 2000s, he wasn't a politician but a barrister. She was a solicitor working on the same case.  Sir Keir told ITV's Piers Morgan's Life Stories, of their first meeting: ""I was doing a case in court and it all depended on whether the documents were accurate. ""I [asked the team] who actually drew up these documents, they said a woman called Victoria, so I said 'let's get her on the line.'"" He grilled her forensically on the paper but as he hung up he heard one comment from her. ""She said, 'who the bleep does he think he is', then put the phone down on me,"" Sir Keir said. ""And quite right too."" Despite the rocky beginnings, the relationship blossomed after a first date in the Lord Stanley pub in Camden, north London.  Speaking to his biographer Tom Baldwin, Sir Keir described her as ""grounded, sassy, funny, streetwise - and utterly gorgeous too"".  He proposed just a few months later on a holiday in Greece. ""Won't we need a ring, Keir?"" was her down-to-earth response.  They were married in 2007 at the Fennes estate in Essex, walking down the aisle to one of Sir Keir's favourite pieces of music - Beethoven's Piano Concerto No.5, 2nd movement. He later described her to Radio 4's Desert Island Discs as an ""incredibly warm, wonderful woman. My complete rock"". The couple have two teenage children - but have been at pains to keep them out of the limelight - making a point of not naming them in public.  Lady Starmer grew up in north London, not far from where she currently lives with her family.  She attended Channing School before studying law and sociology at Cardiff University. While there, she got involved in student politics, becoming president of the student union in 1994.  In an interview with the student newspaper Gair Rhydd, she said her main priority was to campaign against cuts to student grants.  Rob Watkins was at Cardiff University at the same time and worked as a photographer for the paper. He remembers the future Lady Starmer as being ""witty and professional, clearly dedicated to her work"" and aware of her responsibility to the people she represented.   Lady Starmer currently works in occupational health for the NHS - something her husband has frequently referred to during his time as Labour leader.  He says it gives him insight into the problems faced by the health service.  Speaking to the Times in May, Sir Keir said his wife intended to keep her job if he won the election.  “She’s absolutely going to carry on working, she wants to and she loves it."" While the couple say they want to keep life as normal as possible for their children, their domestic life has already been disrupted by Sir Keir's job. In April, pro-Palestinian demonstrators held a protest outside their home, hanging a banner outside their house and laying children's shoes outside the front door.  Lady Starmer had returned from a shopping trip with her son when she saw the protesters.  Asked how the protest made her feel, Lady Starmer said: ""I felt a bit sick, to be perfectly honest.""",2024-07-05 23:10:29,https://www.bbc.com/news/articles/cxe2veedg40o,"Kate Whannel,",2024-07-05 11:10:29,,True
94,"Flames, chains and grains: Africa's top shots","A selection of the week's best photos from across the African continent: On the eve of Mauritania's presidential election, a man arrives at the Grand Mosque in Nouakchott for Friday prayers... Days later supporters of the incumbent president celebrate his re-election. The runner-up, an anti-slavery campaigner, alleges that the vote was stolen. On Saturday, Ayra Starr becomes the first Afrobeats artist to perform on the Pyramid stage at the UK's Glastonbury Festival... Followed the next day by fellow Nigerian star Burna Boy. Also on Sunday, South African singer Tyla appears at the BET awards in the US and takes home two trophies - for best Best New Artist and Best International Act. Angola's Silvio de Sousa and Spain's Willy Hernangomez vie for the ball during an Olympic basketball qualifier on Wednesday. Eritrean cyclist Biniam Girmay takes in the moment after winning the third stage of the Tour de France on Monday. He becomes the first black African competitor to win one of the 21 stages in this yearly feat of endurance. Fishermen bring their catch to shore in Abidjan, Ivory Coast, on Saturday. The next day, Nigerian golfer Georgia Oboh lines up her putt at the Dow Championship in the US. Protests continue in Kenya on Tuesday even though an unpopular draft law to raise tax is dropped... Young people have been at the forefront of these demonstrations in cities and towns across the country. And on Friday in the Tunisian town of Nabeul, a woman spreads couscous out to dry in the sun. Go to BBCAfrica.com for more news from the African continent.  Follow us on Twitter @BBCAfrica, on Facebook at BBC Africa or on Instagram at bbcafrica",2024-07-05 23:10:29,https://www.bbc.com/news/articles/cpwdx1n49lvo,Unknown,2024-07-04 23:10:29,,True
109,French far right seeks vote win but deadlock looms,"France votes in one of its most significant elections in years on Sunday, with the far right hoping for a historic victory, but political stalemate the more likely result. This is the first time the anti-immigration National Rally (RN) of Marine Le Pen and Jordan Bardella has had a realistic chance of running the government and taking outright control of the National Assembly. But after the RN’s first-round victory in snap parliamentary elections last Sunday, hundreds of rival candidates dropped out to give others a better chance of defeating the far right. Voting begins in mainland France at 08:00 (06:00 GMT) and the first exit polls will be released 12 hours later. Whatever the result, it is difficult to see President Emmanuel Macron coming out of this well. Four weeks ago, he said it was the responsible solution to call a snap vote in response to the RN’s victory in European elections, minutes after the party’s 28-year-old leader Jordan Bardella challenged him to do so. The two-round election came as a shock to a country gearing up for the start of the Paris Olympics on 26 July. Security was already tight and now 30,000 police have been deployed for a period of heightened political tension. There are fears of violence in Paris and other French cities, whatever the outcome of the vote, and a planned protest outside the National Assembly on Sunday evening has been banned. In Dreux, a historic old town on the road to Normandy, Sunday’s vote falls on the day the Olympic flame is passing through. “For us it’s a massive thing, bigger than the election,” says Pauline in the tourist office. The flame has been travelling around France for almost two months, and Dreux has planned a weekend of festivities to mark its arrival. “Macron should have waited until after the Olympics,” Dreux resident Antoine told the BBC. Veteran commentator Nicolas Baverez believes the president has not just blown up his term in office and opened the gates of power wide for the far right. “He’s compromised the running of the Paris 2024 Olympics, which could deliver a final blow to France’s credit and its image,” he wrote in Le Point on the eve of the vote. The constituency that includes Dreux is one of the races to watch in the second round of this election.  Candidates such as Marine Le Pen and Jordan Bardella have already won their seats, by winning more than half the vote. But another 500 contests are being decided in run-offs, mostly involving either two or three candidates. Former conservative cabinet minister Olivier Marleix was beaten in the first round by far-right candidate Olivier Dubois. They both qualified for the run-off, along with a candidate from the left-wing New Popular Front, which is in second place nationally. But because Nadia Faveris was narrowly beaten into third by her conservative rival, she pulled out of the race “to block National Rally”. One voter, Morgan, was sceptical that anything would change in the town, whoever won. There have been 217 of these withdrawals across France, including 130 Popular Front candidates and 81 from the president’s Ensemble alliance. And that has dramatically changed the balance of this pivotal general election. Projections after Sunday’s first round gave the RN a fighting chance of securing an outright majority of 289 seats, but final opinion polls on Friday suggest that is now out of reach, with 205 to 210 seats as a potential maximum. The parties trying to block an RN victory range from the radical left, Communists and Greens to the Macron centrists and conservatives. They say they are defending the Fifth Republic from the extreme policies of the far right. National Rally has watered down many of its policies but still wants to give French citizens “national preference” over immigrants for jobs and housing. It aims to abolish the right of automatic citizenship to the children of immigrants who have spent five years aged 11 to 18 in France. It also wants to bar dual nationals from dozens of sensitive jobs. Opinion polls are not necessarily reliable. Each of the 500 races is a local contest and voters do not follow recommendations from political parties. If the RN managed upwards of 250 seats, it might seek out allies to form a minority government. President Macron's party had to make do with similar numbers until he became frustrated with his limited ability to pass reforms in parliament. That kind of RN government is unlikely, believes Prof Armin Steinbach of HEC business school in Paris. It would soon face a vote of no confidence, he believes, and under the constitution, France cannot have another general election for at least another year. Another potential scenario is a “grand coalition” that would involve most of the other parties, except for the radical France Unbowed (LFI) party, which the Macron alliance and conservatives reject as extremists. This idea has gained some momentum in recent days, but Greens leader Marine Tondelier has made clear “there’ll be no Macronist prime minister”, whatever happens. There is also talk of a technocrat government, similar to those that ran Italy during the eurozone debt crisis. But instead of choosing experts from outside politics, it might include politicians with proven expertise in particular fields. In any case, France is entering uncharted territory, says Jean-Yves Dormagen of the Cluster 17 institute. President Macron himself has said he is not about to resign and will continue to serve out his final three years in office. “We will have Macron as a lame duck president who created this mess without having to do so,” Prof Steinbach told the BBC. “And he’s losing legitimacy.” The immediate concern for France is to have some kind of government in place during the Olympic Games. Constitutional expert Benjamin Morel believes the president could form a national unity government until the end of the Paris Games. “That would give the parties time to to reach an agreement between now and the start of the school year and the next budget,” he told Le Figaro.",2024-07-06 23:08:55,https://www.bbc.com/news/articles/cw0ygnyxgnqo,"Paul Kirby,",2024-07-06 18:08:55,,True
